Countries and areas,Population (thousands) 2021_Total,Population (thousands) 2021_Under 18,Population (thousands) 2021_Under 5,Annual population growth rate_2000–2020,Annual population growth rate_2020–2030 (A),Annual number of births (thousands),Total fertility (live births per woman)_2021,Life expectancy at birth_1970,Life expectancy at birth_2000,Life expectancy at birth_2021,Total dependency ratio_2021,Child dependency ratio_2021,Old age dependency ratio_2021,Share of urban population 2021(%),Annual growth rate of urban population_2000-2020,Annual growth rate of urban population_2020-2030 (A),"Net migration rate (per 1,000 population)"
Afghanistan,"40,099","20,298","6,491",3.3,2.3,"1,441",4.6,37,55,62,85,80,4,26,4.1,3.5,-4.60
Albania,"2,855",574,141,-0.5,-0.2,29,1.4,65,75,76,48,24,24,63,1.4,0.8,-3.7
Algeria,"44,178","15,526","4,871",1.6,1.2,951,2.9,43,70,76,58,49,10,74,2.6,1.8,-0.4
Andorra,79,13,3,0.8,0.4,1,1.1,74,81,80,38,18,20,88,0.5,0.4,17.6
Angola,"34,504","17,833","5,983",3.4,2.7,"1,339",5.3,40,46,62,91,87,5,67,4.8,3.4,0.8
Anguilla,16,3,1,1.6,0.3,0,1.3,65,76,77,39,24,14,100,1.6,0.3,7.1
Antigua and Barbuda,93,21,5,1,0.5,1,1.6,70,75,78,41,27,14,24,-0.3,0.6,0
Argentina,"45,277","12,669","3,333",0.9,0.5,629,1.9,66,74,75,54,36,18,92,1.1,0.6,0.1
Armenia,"2,791",669,183,-0.6,-0.2,34,1.6,64,71,72,50,31,19,63,-0.7,0.2,-4.6
Australia,"25,921","5,667","1,537",1.4,0.9,298,1.6,71,80,85,54,28,25,86,1.5,1,4.6
Austria,"8,922","1,542",431,0.5,0.1,85,1.5,70,78,82,51,22,29,59,0.4,0.6,2.3
Azerbaijan,"10,313","2,896",705,1.1,0.4,127,1.7,59,65,69,44,34,10,57,1.5,1,0.1
Bahamas,408,100,23,1.1,0.5,5,1.4,66,72,72,39,27,12,83,1.1,0.7,1.2
Bahrain,"1,463",348,98,3.5,0.6,18,1.8,64,75,79,31,27,5,90,3.5,0.7,-6.2
Bangladesh,"169,356","54,801","14,663",1.2,0.9,"3,020",2,43,66,72,48,39,9,39,3.5,2.5,-1
Barbados,281,59,15,0.3,0.1,3,1.6,68,74,78,49,26,23,31,-0.1,0.5,-0.1
Belarus,"9,578","1,901",474,-0.3,-0.4,89,1.5,71,69,72,51,25,25,80,0.3,0,1.4
Belgium,"11,611","2,329",599,0.6,0.2,116,1.6,71,78,82,57,26,30,98,0.6,0.3,4.5
Belize,400,136,37,2.4,1.2,7,2,63,69,70,50,42,7,46,2.4,1.7,1.4
Benin,"12,997","6,376","2,137",2.8,2.4,476,5,42,57,60,84,78,6,49,3.9,3.4,0.1
Bhutan,777,220,51,1.3,0.6,10,1.4,40,62,72,41,32,9,43,3.7,1.8,0.4
Bolivia (Plurinational State of),"12,079","4,470","1,272",1.6,1.2,264,2.6,47,62,64,56,49,8,70,2.2,1.7,-0.4
Bosnia and Herzegovina,"3,271",588,154,-1.1,-0.6,28,1.3,67,74,75,49,22,27,49,-0.4,0.2,-7.9
Botswana,"2,588","1,000",297,1.8,1.4,61,2.8,55,51,61,57,52,6,72,3.2,2.1,0.7
Brazil,"214,326","53,465","14,241",0.9,0.4,"2,761",1.6,57,70,73,43,29,14,87,1.2,0.7,0.1
British Virgin Islands,31,6,1,2,0.6,0,1,67,74,74,33,20,13,49,2.8,1.4,4.1
Brunei Darussalam,445,119,32,1.3,0.6,6,1.8,64,74,75,39,31,8,79,1.8,1,-0.4
Bulgaria,"6,886","1,156",306,-0.7,-0.9,58,1.6,71,72,72,57,22,35,76,-0.3,-0.6,-1.3
Burkina Faso,"22,101","11,244","3,568",2.8,2.2,786,4.8,39,51,59,87,83,5,31,5.4,4,-0.6
Burundi,"12,551","6,655","2,054",3.1,2.3,438,5.1,43,48,62,95,90,5,14,5.6,4.6,-1.1
Cabo Verde,588,188,50,1.1,0.8,10,1.9,54,69,74,47,39,8,67,2.2,1.4,-2.2
Cambodia,"16,589","5,756","1,613",1.4,0.9,321,2.3,39,59,70,53,45,8,25,2.7,2.5,-1.5
Cameroon,"27,199","13,339","4,346",2.7,2.3,951,4.5,48,53,60,82,77,5,58,3.8,3.1,-0.4
Canada,"38,155","7,215","1,901",1,0.7,374,1.5,73,79,83,52,24,28,82,1.1,0.9,5.1
Central African Republic,"5,457","3,045",985,1.7,2.6,235,6,45,45,54,103,98,5,43,2.2,3.7,-15.6
Chad,"17,180","9,343","3,218",3.3,2.7,745,6.3,41,47,53,99,95,4,24,3.7,4,0.5
Chile,"19,493","4,313","1,151",1.1,0.3,229,1.5,62,77,79,45,27,18,88,1.2,0.4,5.9
China,"1,425,893","300,092","74,790",0.6,-0.1,"10,882",1.2,57,72,78,45,26,19,63,3.1,1.2,-0.1
Colombia,"51,517","13,536","3,670",1.2,0.6,730,1.7,62,71,73,44,31,13,82,1.7,0.9,4.1
Comoros,822,363,114,1.9,1.6,24,4,45,59,63,74,67,7,30,2.2,2.5,-2.2
Congo,"5,836","2,786",847,2.9,2,179,4.2,54,54,64,79,74,5,68,3.5,2.6,-0.8
Cook Islands,17,5,1,0.3,0.1,0,2.2,64,70,75,54,36,17,76,1,0.4,-9.4
Costa Rica,"5,154","1,278",329,1.2,0.5,61,1.5,65,78,77,45,30,15,81,2.7,1.1,0.4
Côte d'Ivoire,"27,478","13,379","4,202",2.2,2.2,933,4.4,44,51,59,79,75,4,52,3.1,3.1,-0.8
Croatia,"4,060",691,180,-0.5,-0.6,35,1.5,69,75,78,57,22,34,58,-0.1,0,-2.6
Cuba,"11,256","2,142",553,0.1,-0.2,100,1.4,68,76,74,46,23,23,77,0.2,-0.1,-0.6
Cyprus,"1,244",236,67,1.3,0.5,13,1.3,69,77,81,44,23,21,67,1.1,0.7,1.6
Czechia,"10,511","1,983",551,0.1,0,104,1.7,69,75,78,57,25,32,74,0.1,0.2,0.3
Democratic People's Republic of Korea,"25,972","5,940","1,700",0.5,0.2,344,1.8,61,61,73,43,27,16,63,0.7,0.7,-0.1
Democratic Republic of the Congo,"95,894","50,791","17,698",3.1,2.9,"4,035",6.2,43,52,59,98,92,6,46,4.3,4,-0.7
Denmark,"5,854","1,152",310,0.4,0.4,63,1.7,73,77,81,57,25,32,88,0.6,0.6,3.9
Djibouti,"1,106",409,116,1.8,1.2,25,2.8,48,57,62,54,48,7,78,1.9,1.4,0.7
Dominica,72,18,5,0.2,0.4,1,1.6,65,73,73,41,28,13,71,0.7,0.8,0.8
Dominican Republic,"11,118","3,626","1,015",1.2,0.8,205,2.3,56,69,73,53,42,11,83,2.6,1.3,-1.3
Ecuador,"17,798","5,584","1,492",1.6,0.9,299,2,57,73,74,51,39,12,64,1.9,1.3,2
Egypt,"109,262","41,988","12,368",1.9,1.4,"2,465",2.9,50,68,70,61,53,8,43,1.9,1.8,-0.3
El Salvador,"6,314","1,967",508,0.3,0.4,101,1.8,51,70,71,51,39,12,74,1.3,1.1,-4.3
Equatorial Guinea,"1,634",722,230,4,2,50,4.3,30,53,61,72,67,5,74,5.9,2.5,4
Eritrea,"3,620","1,712",486,1.9,1.7,104,3.9,41,56,67,78,71,7,42,4,3,-4.1
Estonia,"1,329",260,71,-0.2,-0.3,14,1.7,70,71,77,58,26,32,69,-0.2,0,2.3
Eswatini,"1,192",493,140,0.6,0.9,29,2.8,51,47,57,64,57,7,24,0.9,1.8,-4.1
Ethiopia,"120,283","56,315","17,798",2.7,2.2,"3,896",4.2,43,51,65,76,70,6,22,4.5,4.1,0
Fiji,925,316,90,0.5,0.6,18,2.5,62,66,67,53,44,9,58,1.3,1.3,-6.5
Finland,"5,536","1,036",244,0.3,0.1,47,1.4,70,78,82,62,25,37,86,0.5,0.2,2.7
France,"64,531","13,568","3,408",0.5,0.1,677,1.8,72,79,82,63,28,35,81,0.8,0.4,0.3
Gabon,"2,341",985,307,2.8,1.7,64,3.5,53,61,66,68,61,7,90,3.4,2,0.6
Gambia,"2,640","1,331",412,2.8,2.2,88,4.7,40,57,62,85,80,5,63,4.1,3,-0.7
Georgia,"3,758",920,261,-0.6,-0.3,50,2.1,64,70,72,55,33,23,60,0,0.4,-0.7
Germany,"83,409","13,836","3,971",0.1,-0.1,763,1.5,71,78,81,56,22,35,78,0.3,0.1,3.8
Ghana,"32,833","14,291","4,306",2.3,1.7,905,3.6,48,58,64,69,63,6,58,3.6,2.6,-0.3
Greece,"10,445","1,794",433,-0.2,-0.4,79,1.4,73,78,80,58,22,35,80,0.2,-0.1,-1.4
Grenada,125,35,10,0.7,0.5,2,2,66,73,75,51,36,15,37,0.8,1,-0.7
Guatemala,"17,608","6,930","1,927",1.9,1.3,372,2.4,49,67,69,61,53,8,52,2.5,2.1,-1.7
Guinea,"13,532","6,562","2,097",2.2,2.1,466,4.4,39,52,59,82,76,6,37,3,3.1,-0.3
Guinea-Bissau,"2,061",975,295,2.3,1.9,64,4,38,50,60,77,72,5,45,3.3,2.7,-0.7
Guyana,805,275,79,0.2,0.6,16,2.4,60,64,66,54,44,9,27,-0.1,1.1,-5.4
Haiti,"11,448","4,397","1,277",1.4,1.1,269,2.8,47,58,63,58,51,7,58,3.7,2.2,-2.9
Holy See,1,-,-,-1.1,0.7,0,1,71,79,82,-,-,-,-,-,-,0
Honduras,"10,278","3,784","1,056",2,1.3,217,2.4,54,69,70,53,47,6,59,3.2,2.2,-0.6
Hungary,"9,710","1,707",468,-0.2,-0.1,92,1.6,69,72,75,54,22,31,72,0.3,0.3,2
Iceland,370,83,22,1.3,0.6,5,1.7,74,80,83,50,28,22,94,1.3,0.6,1.7
India,"1,407,564","438,164","115,307",1.3,0.7,"23,114",2,48,63,67,48,38,10,35,2.4,2,-0.2
Indonesia,"273,753","83,188","22,414",1.1,0.7,"4,496",2.2,53,66,68,48,38,10,57,2.6,1.6,-0.1
Iran (Islamic Republic of),"87,923","24,425","6,896",1.4,0.6,"1,204",1.7,50,70,74,45,35,11,76,2.2,1.1,0.3
Iraq,"43,534","19,352","5,691",2.6,2,"1,192",3.5,60,67,70,71,65,6,71,2.8,2.3,-1.4
Ireland,"4,987","1,189",305,1.3,0.6,59,1.8,71,77,82,53,31,23,64,1.6,1,3.1
Israel,"8,900","2,930",890,1.7,1.3,174,3,71,79,82,67,47,20,93,1.8,1.4,1.9
Italy,"59,240","9,203","2,161",0.2,-0.3,410,1.3,72,80,83,57,20,37,71,0.5,0.1,0.5
Jamaica,"2,828",712,169,0.4,-0.1,33,1.4,67,71,71,38,28,10,57,0.8,0.6,-2
Japan,"124,613","17,962","4,286",-0.1,-0.5,819,1.3,72,81,85,71,20,51,92,0.7,-0.4,0.7
Jordan,"11,148","4,289","1,195",3.7,0.8,245,2.8,60,72,74,57,51,6,92,4.4,1,1.3
Kazakhstan,"19,196","6,498","2,009",1,1,413,3.1,61,64,69,60,47,13,58,1.2,1.3,-1
Kenya,"53,006","24,050","6,913",2.5,1.8,"1,468",3.3,54,54,61,70,65,5,28,4.1,3.4,-1
Kiribati,129,53,17,1.7,1.5,4,3.3,55,64,67,66,60,6,56,2.9,2.5,-2.3
Kuwait,"4,250","1,043",259,3.9,0.4,44,2.1,67,77,79,34,28,6,100,3.9,0.4,-8.6
Kyrgyzstan,"6,528","2,574",805,1.3,1.3,158,3,58,65,70,64,56,7,37,1.5,2.3,-2.5
Lao People's Democratic Republic,"7,425","2,739",790,1.4,1.2,163,2.5,44,58,68,55,48,7,37,3.8,2.7,-1.4
Latvia,"1,874",348,93,-1.1,-1,17,1.6,70,70,74,59,25,34,68,-1.1,-0.8,-3.6
Lebanon,"5,593","1,847",445,1.3,-1.7,84,2.1,67,74,75,59,44,15,89,1.4,-1.5,-20.4
Lesotho,"2,281",916,275,0.6,0.9,60,3,51,48,53,62,55,7,29,2.5,2.4,-0.7
Liberia,"5,193","2,492",745,2.7,1.9,163,4.1,41,51,61,80,74,6,53,3.5,2.8,-2.3
Libya,"6,735","2,332",614,1.2,1,120,2.5,55,71,72,51,44,7,81,1.5,1.3,-0.1
Liechtenstein,39,7,2,0.8,0.5,0,1.5,65,77,83,50,22,28,14,0.5,1.2,5.9
Lithuania,"2,787",499,140,-1.2,-0.9,27,1.6,71,72,74,56,24,32,68,-1.1,-0.5,-4.2
Luxembourg,639,122,33,1.8,0.9,7,1.4,70,78,83,44,23,21,92,2.2,1.1,10.9
Madagascar,"28,916","13,292","4,151",2.6,2.1,895,3.9,48,58,64,75,69,6,39,4.3,3.6,0
Malawi,"19,890","10,052","3,034",2.6,2.3,654,3.9,37,45,63,85,80,5,18,3.4,3.9,-0.1
Malaysia,"33,574","9,311","2,572",1.8,0.9,511,1.8,63,73,75,43,33,10,78,2.8,1.4,1.4
Maldives,521,132,38,2.9,0,7,1.7,45,71,80,36,29,6,41,4.7,0.9,2.3
Mali,"21,905","11,904","4,004",3,2.7,913,6,33,51,59,99,94,5,45,5.1,4.1,-1
Malta,527,82,24,1.2,0.5,5,1.2,69,78,84,47,19,28,95,1.3,0.5,20
Marshall Islands,42,16,4,-1.1,0.3,1,2.7,59,63,65,60,53,7,78,-0.5,0.6,-44.2
Mauritania,"4,615","2,252",695,2.4,2.4,153,4.4,51,61,64,83,77,6,56,4.2,3.5,-0.3
Mauritius,"1,299",272,66,0.3,0.1,13,1.4,61,72,74,41,23,17,41,0.1,0.3,-0.4
Mexico,"126,705","38,144","9,893",1.2,0.6,"1,882",1.8,61,74,70,49,37,12,81,1.6,0.9,-0.4
Micronesia (Federated States of),113,42,11,0,0.8,2,2.7,61,70,71,58,48,9,23,0.1,1.6,-5.6
Monaco,37,6,2,0.6,-0.3,0,2.1,73,82,86,95,25,70,100,0.6,-0.3,5.6
Mongolia,"3,348","1,220",380,1.4,1.1,72,2.8,53,63,71,58,51,7,69,2.3,1.4,0
Montenegro,628,136,37,0,-0.1,7,1.7,69,74,76,53,28,25,68,0.6,0.3,-0.2
Montserrat,4,1,0,-0.6,-0.4,0,1.6,64,75,76,44,19,25,9,6.4,0.3,-9
Morocco,"37,077","11,779","3,285",1.2,0.8,651,2.3,49,67,74,52,41,11,64,2,1.5,-1.2
Mozambique,"32,077","16,168","5,260",2.7,2.5,"1,174",4.6,42,49,59,86,81,5,38,3.8,3.8,-0.3
Myanmar,"53,798","16,125","4,491",0.8,0.6,920,2.2,51,60,66,46,36,10,31,1.4,1.6,-0.7
Namibia,"2,530","1,060",333,1.5,1.4,69,3.3,54,52,59,67,61,7,53,3.8,2.8,-1.7
Nauru,13,6,2,0.8,0.7,0,3.5,60,59,64,70,66,4,100,0.8,0.7,-5.3
Nepal,"30,035","10,742","2,952",0.8,1.1,610,2,43,63,68,55,46,9,21,2.9,3,9.9
Netherlands,"17,502","3,309",866,0.4,0.3,180,1.6,74,78,82,55,24,31,93,1.3,0.5,3.3
New Zealand,"5,130","1,159",310,1.3,0.7,64,1.8,71,79,82,53,29,24,87,1.3,0.9,7.5
Nicaragua,"6,851","2,451",698,1.3,1.2,141,2.3,55,67,74,54,46,8,59,1.6,1.7,-1.5
Niger,"25,253","14,056","4,972",3.5,3.4,"1,144",6.8,36,49,62,105,100,5,17,3.6,4.4,-0.2
Nigeria,"213,401","106,611","34,831",2.5,2.1,"7,923",5.2,40,47,53,86,81,6,53,4.4,3.3,-0.4
Niue,2,1,0,-0.3,0,0,2.4,64,67,71,70,45,25,47,1.3,1.2,-2
North Macedonia,"2,103",408,105,0.2,-0.2,20,1.4,64,73,74,45,23,21,59,0.2,0.5,-0.2
Norway,"5,403","1,108",280,0.9,0.6,54,1.5,74,79,83,54,26,28,83,1.3,0.9,2
Oman,"4,520","1,369",443,3.2,1,83,2.6,48,73,73,42,38,4,87,4,1.6,-4.6
Pakistan,"231,402","100,538","29,604",1.8,1.7,"6,375",3.5,55,62,66,70,63,7,37,2.4,2.5,-2
Palau,18,5,1,-0.4,0,0,2.4,56,66,66,44,30,14,81,0.2,0.4,0.2
Panama,"4,351","1,366",385,1.7,1.1,77,2.3,65,74,76,54,41,13,69,2.2,1.6,1.3
Papua New Guinea,"9,949","4,057","1,207",2.7,1.6,254,3.2,52,62,65,60,55,5,13,2.8,2.8,1.1
Paraguay,"6,704","2,305",682,1.2,1,138,2.5,63,70,70,54,45,10,62,1.8,1.5,-1.2
Peru,"33,715","10,639","2,917",1.1,0.9,594,2.2,47,70,72,53,40,13,79,1.4,1.1,2
Philippines,"113,880","41,441","11,923",1.7,1.3,"2,485",2.7,62,69,69,56,48,8,48,1.9,2,-0.7
Poland,"38,308","6,982","1,908",0,0.1,363,1.5,70,74,76,52,23,29,60,-0.1,0.3,-0.1
Portugal,"10,290","1,690",433,0,-0.2,80,1.4,67,77,81,56,21,35,67,0.9,0.5,2.7
Qatar,"2,688",475,145,6.9,0.3,27,1.8,67,75,79,21,19,2,99,7.1,0.3,-11.4
Republic of Korea,"51,830","7,517","1,651",0.5,-0.1,289,0.9,62,76,84,40,17,23,81,0.6,0,0.8
Republic of Moldova,"3,062",709,202,-1.5,0.3,38,1.8,64,66,69,50,30,20,43,-1.7,0.8,-4.7
Romania,"19,329","3,722","1,029",-0.6,-0.2,195,1.7,68,71,74,54,25,29,54,-0.5,0.2,-0.7
Russian Federation,"145,103","30,178","7,890",0,-0.3,"1,397",1.5,68,65,69,50,27,23,75,0.1,0,2.2
Rwanda,"13,462","6,162","1,889",2.3,2,404,3.8,47,47,66,73,67,5,18,3,3.1,-0.5
Saint Kitts and Nevis,48,11,3,0.2,0.1,1,1.5,61,70,72,42,28,14,31,-0.1,0.6,-1.9
Saint Lucia,180,40,10,0.6,0.2,2,1.4,64,71,71,38,25,13,19,-1.3,0.9,0
Saint Vincent and the Grenadines,104,27,7,-0.4,0,1,1.8,69,71,70,49,33,16,53,0.4,0.7,-3.6
Samoa,219,96,29,0.7,1.3,6,3.9,60,71,73,75,66,9,18,-0.2,1,-4
San Marino,34,5,1,1.1,-0.1,0,1.1,74,80,81,50,20,30,98,1.3,-0.1,1.2
Sao Tome and Principe,223,105,30,2,1.7,6,3.8,57,62,68,78,71,7,75,3.6,2.4,-3.5
Saudi Arabia,"35,950","11,026","3,187",2.4,1.1,629,2.4,53,72,77,40,37,4,85,2.7,1.3,-4.3
Senegal,"16,877","8,168","2,571",2.5,2.3,550,4.4,41,57,67,82,76,6,49,3.4,3.2,-0.6
Serbia,"7,297","1,253",345,-0.4,-0.7,68,1.5,66,71,74,54,22,32,57,0,-0.2,0
Seychelles,106,29,9,1.3,0.5,2,2.3,58,70,71,45,34,11,58,1.9,1.1,1.4
Sierra Leone,"8,421","3,880","1,188",2.8,1.9,264,4,39,45,60,74,69,5,43,3.7,2.8,-0.2
Singapore,"5,941",860,246,1.8,0.5,42,1,69,79,83,35,16,19,100,1.8,0.5,3.3
Slovakia,"5,448","1,026",289,0.1,0.2,54,1.6,70,73,75,49,24,26,54,-0.1,0.5,0.3
Slovenia,"2,119",380,101,0.3,-0.1,19,1.6,68,76,81,55,24,32,55,0.7,0.5,2.2
Solomon Islands,708,323,101,2.3,1.9,21,4,56,67,70,75,69,6,25,4.4,3.5,-1.1
Somalia,"17,066","9,212","3,200",3,2.7,744,6.3,46,51,55,99,94,5,47,4.6,3.8,-1
South Africa,"59,392","19,961","5,813",1.1,0.9,"1,177",2.4,56,58,62,53,44,9,68,1.9,1.5,0.2
South Sudan,"10,748","5,621","1,486",2.6,1.5,313,4.5,26,46,55,91,85,5,21,3.6,3.2,-3
Spain,"47,487","8,198","1,897",0.7,-0.1,358,1.3,72,79,83,52,21,30,81,1,0.2,5.8
Sri Lanka,"21,773","6,120","1,562",0.7,0.2,306,2,65,70,76,52,35,17,19,0.8,1.3,-4.2
State of Palestine,"5,133","2,339",712,2.2,2,145,3.5,55,70,73,74,68,6,77,2.5,2.4,-2.4
Sudan,"45,657","21,570","7,084",2.5,2.3,"1,534",4.5,46,58,65,80,74,6,36,2.9,3.3,-0.3
Suriname,613,195,54,1.1,0.8,11,2.3,60,66,70,51,40,11,66,1.1,1,-0.8
Sweden,"10,467","2,215",595,0.7,0.5,113,1.7,75,80,83,61,28,32,88,1,0.8,7.7
Switzerland,"8,691","1,560",436,0.9,0.5,87,1.5,73,80,84,52,23,29,74,0.9,0.7,2.8
Syrian Arab Republic,"21,324","8,679","1,892",1.2,3.3,427,2.7,61,71,72,60,53,7,56,1.5,4.3,10
Tajikistan,"9,750","4,093","1,269",2,1.6,261,3.2,57,63,72,66,60,6,28,2.2,2.7,-0.4
Thailand,"71,601","13,764","3,379",0.6,0.1,644,1.3,58,72,79,43,23,21,52,2.9,1.2,0
Timor-Leste,"1,321",562,157,1.9,1.3,33,3.1,37,59,68,68,59,9,32,3.1,2.3,-1.5
Togo,"8,645","4,035","1,270",2.5,2,275,4.3,46,55,62,77,71,5,43,3.7,3.2,-0.1
Tokelau,2,1,0,0.4,1,0,2.7,62,72,75,60,47,13,0,-,-,0
Tonga,106,44,12,0.1,0.7,2,3.2,63,69,71,69,59,10,23,0.1,1,-8.9
Trinidad and Tobago,"1,526",353,92,0.6,0.2,18,1.6,65,69,73,44,28,16,53,0.4,0.4,1.7
Tunisia,"12,263","3,574","1,035",1,0.7,197,2.1,54,74,74,51,38,13,70,1.4,1.1,-0.7
Türkiye,"84,775","23,673","6,610",1.3,0.5,"1,245",1.9,57,72,76,47,34,12,77,2.1,1,-0.8
Turkmenistan,"6,342","2,282",688,1.5,1.1,137,2.7,58,65,69,57,49,8,53,2.1,2,-0.7
Turks and Caicos Islands,45,9,3,4.1,0.8,1,1.7,56,74,75,37,23,14,94,4.6,1,15.2
Tuvalu,11,4,1,0.7,0.7,0,3.2,55,63,65,61,51,10,65,2.2,1.5,-1.3
Uganda,"45,854","24,092","7,690",2.9,2.5,"1,687",4.6,50,48,63,88,85,3,26,5.4,4.5,0.9
Ukraine,"43,531","7,898","1,798",-0.5,-1.2,336,1.3,69,68,72,48,23,26,70,-0.3,-1,0
United Arab Emirates,"9,365","1,599",482,5,0.7,97,1.5,60,74,79,20,18,2,87,5.4,0.9,-0.3
United Kingdom,"67,281","14,169","3,652",0.6,0.3,677,1.6,72,78,81,58,28,30,84,0.9,0.5,3
United Republic of Tanzania,"63,588","32,079","10,537",2.8,2.6,"2,303",4.7,46,52,66,88,82,6,36,4.9,4.3,-0.1
United States,"336,998","74,735","19,164",0.8,0.4,"3,723",1.7,71,77,77,54,28,26,83,1,0.7,1.7
Uruguay,"3,426",811,195,0.2,0,36,1.5,69,75,75,54,30,24,96,0.4,0.1,-0.4
Uzbekistan,"34,081","11,809","3,847",1.4,1.2,803,2.9,61,66,71,54,46,8,50,1.8,1.5,-1.2
Vanuatu,319,145,45,2.3,2.1,9,3.7,55,69,70,76,70,7,26,3.1,2.7,-0.6
Venezuela (Bolivarian Republic of),"28,200","9,560","2,396",0.7,1.1,452,2.2,64,72,71,58,44,13,88,0.8,1.1,-18.5
Viet Nam,"97,468","26,183","7,368",1,0.6,"1,463",1.9,56,72,74,46,33,13,38,3,2.1,0
Yemen,"32,982","15,348","4,714",2.6,1.9,"1,009",3.8,41,63,64,74,69,5,39,4.4,3.4,-3.1
Zambia,"19,473","9,768","3,073",3.1,2.4,672,4.3,51,45,61,82,79,3,45,4.3,3.5,0.5
Zimbabwe,"15,994","7,622","2,300",1.3,1.8,489,3.5,57,45,59,79,73,6,32,1.1,2.4,-1.6
,,,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,
East Asia and Pacific,"2,351,075","544,718","141,163",0.7,0.2,"24,171",1.5,57,72,76,47,28,18,61,2.5,1.1,0
Europe and Central Asia,"921,948","196,265","52,835",0.3,0.1,"10,098",1.7,68,72,76,54,28,26,73,0.6,0.4,1.4
   Eastern Europe and Central Asia,"425,237","104,630","29,039",0.3,0.1,"5,528",1.9,64,67,71,51,32,19,67,0.6,0.4,0.2
   Western Europe,"496,711","91,635","23,795",0.3,0,"4,570",1.5,71,78,81,56,24,32,77,0.6,0.3,2.4
Latin America and Caribbean,"651,297","185,463","49,512",1.1,0.6,"9,662",1.9,58,71,72,48,35,13,81,1.4,0.9,-0.4
Middle East and North Africa,"484,290","170,267","49,223",1.9,1.3,"9,763",2.7,51,69,73,55,47,8,66,2.5,1.6,-0.8
North America,"375,153","81,950","21,066",0.8,0.5,"4,097",1.6,71,77,78,54,28,26,83,1,0.7,2
South Asia,"1,901,529","631,014","170,669",1.4,0.9,"34,882",2.2,48,63,67,51,42,10,35,2.5,2.2,-0.5
Sub-Saharan Africa,"1,182,308","575,568","185,103",2.6,2.2,"40,950",4.6,44,51,60,82,77,6,42,3.9,3.4,-0.4
   Eastern and Southern Africa,"608,005","286,706","90,099",2.5,2.1,"19,573",4.1,47,51,63,78,72,6,36,3.6,3.3,-0.2
   West and Central Africa,"574,303","288,861","95,003",2.7,2.3,"21,377",5.2,41,50,57,87,82,5,48,4.1,3.4,-0.6
Least developed countries,"1,099,569","500,147","157,433",2.3,2,"34,449",4,43,55,64,74,68,6,35,3.9,3.4,-0.5
World,"7,909,295","2,392,419","671,477",1.2,0.8,"133,975",2.3,56,66,71,54,39,15,57,2,1.4,0
